Field,lower.taxon,upper.taxon,guild1,guild2,interaction_type,weight
552,pl6,po34,plant,pollinator,pollination,8
552,pl6,po81,plant,pollinator,pollination,3
552,pl8,po13,plant,pollinator,pollination,1
552,pl9,Lepi_12,plant,herbivore,herbivory,1
552,pl9,Lepi_14,plant,herbivore,herbivory,3
553,pl1,Lepi_17,plant,herbivore,herbivory,1
553,pl1,po16,plant,pollinator,pollination,2
553,pl1,po2,plant,pollinator,pollination,6
553,pl1,po45,plant,pollinator,pollination,1
553,pl1,po88,plant,pollinator,pollination,2
553,pl11,po19,plant,pollinator,pollination,3
553,pl11,po34,plant,pollinator,pollination,4
553,pl11,po42,plant,pollinator,pollination,1
553,pl11,po47,plant,pollinator,pollination,4
553,pl11,po7,plant,pollinator,pollination,6
553,pl11,po82,plant,pollinator,pollination,1
553,pl11,po88,plant,pollinator,pollination,1
553,pl17,po34,plant,pollinator,pollination,2
553,pl17,po7,plant,pollinator,pollination,1
553,pl17,po78,plant,pollinator,pollination,1
553,pl18,po47,plant,pollinator,pollination,1
553,pl18,po88,plant,pollinator,pollination,1
553,pl2,Lepi_20,plant,herbivore,herbivory,1
553,pl22,Lepi_10,plant,herbivore,herbivory,1
553,pl5,Lepi_21,plant,herbivore,herbivory,2
553,pl5,po34,plant,pollinator,pollination,2
553,pl6,po19,plant,pollinator,pollination,1
553,pl6,po34,plant,pollinator,pollination,6
553,pl6,po82,plant,pollinator,pollination,1
553,pl7,po34,plant,pollinator,pollination,1
553,pl9,Lepi_14,plant,herbivore,herbivory,2
554,Lepi_11,Hym9,herbivore,parasitoid,parasitoidism,1
554,Lepi_8,Diptera,herbivore,parasitoid,parasitoidism,4
554,pl1,Lepi_18,plant,herbivore,herbivory,1
554,pl1,po2,plant,pollinator,pollination,2
554,pl12,Lepi_11,plant,herbivore,herbivory,1
554,pl14,Lepi_16,plant,herbivore,herbivory,6
554,pl15,po34,plant,pollinator,pollination,2
554,pl2,Lepi_20,plant,herbivore,herbivory,1
554,pl3,po2,plant,pollinator,pollination,1
554,pl3,po34,plant,pollinator,pollination,1
554,pl34,Lepi_15,plant,herbivore,herbivory,1
554,pl5,Lepi_10,plant,herbivore,herbivory,3
554,pl5,Lepi_15,plant,herbivore,herbivory,2
554,pl5,Lepi_8,plant,herbivore,herbivory,25
554,pl5,po11,plant,pollinator,pollination,1
554,pl5,po19,plant,pollinator,pollination,1
554,pl5,po2,plant,pollinator,pollination,4
554,pl5,po34,plant,pollinator,pollination,3
554,pl5,po68,plant,pollinator,pollination,1
554,pl5,po7,plant,pollinator,pollination,1
554,pl6,po2,plant,pollinator,pollination,9
554,pl6,po34,plant,pollinator,pollination,36
554,pl6,po42,plant,pollinator,pollination,5
554,pl6,po52,plant,pollinator,pollination,2
554,pl6,po7,plant,pollinator,pollination,1
554,pl6,po89,plant,pollinator,pollination,1
554,pl9,Lepi_14,plant,herbivore,herbivory,2
555,pl1,Lepi_1,plant,herbivore,herbivory,1
555,pl1,po34,plant,pollinator,pollination,1
555,pl1,po58,plant,pollinator,pollination,1
555,pl13,po103,plant,pollinator,pollination,1
555,pl13,po143,plant,pollinator,pollination,17
555,pl13,po19,plant,pollinator,pollination,1
555,pl13,po2,plant,pollinator,pollination,1
555,pl13,po34,plant,pollinator,pollination,11
555,pl13,po78,plant,pollinator,pollination,26
555,pl13,po82,plant,pollinator,pollination,1
555,pl15,po143,plant,pollinator,pollination,1
555,pl15,po47,plant,pollinator,pollination,1
555,pl15,po55,plant,pollinator,pollination,1
555,pl24,Lepi_23,plant,herbivore,herbivory,1
555,pl4,Lepi_9,plant,herbivore,herbivory,1
555,pl5,Lepi_17,plant,herbivore,herbivory,1
555,pl5,Lepi_21,plant,herbivore,herbivory,1
555,pl5,po27,plant,pollinator,pollination,1
555,pl5,po89,plant,pollinator,pollination,1
555,pl6,po19,plant,pollinator,pollination,1
555,pl6,po34,plant,pollinator,pollination,15
555,pl6,po78,plant,pollinator,pollination,3
556,Lepi_14,Diptera,herbivore,parasitoid,parasitoidism,1
556,pl1,Lepi_1,plant,herbivore,herbivory,7
556,pl1,Lepi_21,plant,herbivore,herbivory,1
556,pl1,po2,plant,pollinator,pollination,4
556,pl10,po13,plant,pollinator,pollination,4
556,pl11,po13,plant,pollinator,pollination,10
556,pl11,po27,plant,pollinator,pollination,1
556,pl11,po34,plant,pollinator,pollination,32
556,pl11,po53,plant,pollinator,pollination,1
556,pl11,po80,plant,pollinator,pollination,1
556,pl11,po88,plant,pollinator,pollination,11
556,pl15,po55,plant,pollinator,pollination,1
556,pl4,Lepi_9,plant,herbivore,herbivory,6
556,pl5,Lepi_10,plant,herbivore,herbivory,1
556,pl5,po18,plant,pollinator,pollination,1
556,pl5,po34,plant,pollinator,pollination,1
556,pl5,po82,plant,pollinator,pollination,1
556,pl6,po111,plant,pollinator,pollination,4
556,pl6,po13,plant,pollinator,pollination,4
556,pl6,po161,plant,pollinator,pollination,1
556,pl6,po34,plant,pollinator,pollination,14
556,pl6,po42,plant,pollinator,pollination,3
556,pl6,po47,plant,pollinator,pollination,1
556,pl6,po76,plant,pollinator,pollination,2
556,pl6,po82,plant,pollinator,pollination,2
556,pl9,Lepi_14,plant,herbivore,herbivory,4
557,Lepi_1,Hym2,herbivore,parasitoid,parasitoidism,1
557,Lepi_11,Hym9,herbivore,parasitoid,parasitoidism,1
557,Lepi_23,Hym4,herbivore,parasitoid,parasitoidism,1
557,Lepi_9,Diptera,herbivore,parasitoid,parasitoidism,1
557,Lepi_9,Hym10,herbivore,parasitoid,parasitoidism,2
